job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
cF7hFRs1ZM3npwS8AAAAAA==,Python Developer - 100% Remote (Exclusively for residents of Spain) (Santander),Infosernt,,,,False,A tiempo completo,,,,,"Infoser NT is hiring: Python Software Engineer We're looking for a talented Python Software Engineer to join our innovative team and help us build scalable, cloud-native solutions. If you're passionate about automation, cloud infrastructure, and DevOps practices, this is your opportunity to make a real impact. Key Responsibilities - Design and maintain reliable, robust, and scalable DevOps platforms for cloud systems and services. - Develop and improve tools for CI/CD, automated testing, and adv...",https://www.jobijoba.es/oferta-empleo/69/39f02ed7c12852300fd05c979db3fb46?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DcF7hFRs1ZM3npwS8AAAAAA%3D%3D&vssid=jobs-detail-viewer,
Q1k1_JYBz0oZf7-lAAAAAA==,Senior Python Software Engineer,IT Partner,,,ES,False,A tiempo completo,,,,,"Modalidad: 100% Teletrabajo Idioma: Español nativo (obligatorio) 🚀 Descripción del puesto En IT Partner España , buscamos un Senior Python Software Engineer con experiencia en el diseño y desarrollo de arquitecturas basadas en microservicios. Participarás en proyectos innovadores donde la inteligencia artificial y la automatización juegan un papel clave, colaborando con equipos de ingeniería y DevOps para llevar soluciones de AI/GenAI a entornos productivos. 🧩 Responsabilidades principales • Dis...",https://es.jooble.org/jdp/-1635302943654742976?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DQ1k1_JYBz0oZf7-lAAAAAA%3D%3D&vssid=jobs-detail-viewer,
vgasfEjBHSFbAMOpAAAAAA==,Backend developer Python,Hays,"Cequeliños, Arbo",Pontevedra,ES,False,A tiempo completo,,,,,"¿Quieres crecer como Fullstack, proponer ideas y participar en proyectos? Tu nueva empresa Una compañía tecnológica con sede en Sant Cugat del Vallès, especializada en el desarrollo de soluciones digitales a medida para clientes de múltiples sectores. Actualmente se encuentran en un momento de crecimiento, impulsando el desarrollo de un producto propio y una herramienta interna. Tu nuevo puesto Te incorporarás como Backend Developer, participando en proyectos tanto internos como para clientes. T...",https://es.talent.com/view?id=29f460f42ec2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DvgasfEjBHSFbAMOpAAAAAA%3D%3D&vssid=jobs-detail-viewer,
wSnhe-BKifArSBtdAAAAAA==,Senior PRODUCT Python Developer (Remote - Spain),Matchtech,,,ES,False,A tiempo completo,,,,,"Senior PRODUCT Python Developer (Remote – Spain) (Just Spanish Residents allowed) Build scalable solutions that power global digital experiences. We’re looking for a Senior Product Python Developer to join a growing international engineering team. You’ll work in a collaborative, agile environment where innovation, autonomy, and technical excellence are part of the daily culture. If you’re passionate about designing elegant, scalable systems, love working with modern technologies, and want to con...",https://es.jobrapido.com/jobpreview/2500613988618862592?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DwSnhe-BKifArSBtdAAAAAA%3D%3D&vssid=jobs-detail-viewer,
9RaxUl--MPO2GgxwAAAAAA==,Senior Backend Developer (Python & FastAPI) (100% remote Spain),UST España & Latam,Vitoria-Gasteiz,Álava,ES,False,A tiempo completo,,,,,"🚀 UST is looking for the very Top Talent…and we would be delighted if you were to join our family! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. 🔎 What are we looking for? We are looking for a Senior Backend Develo...",https://es.jooble.org/jdp/1630764004461001598?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D9RaxUl--MPO2GgxwAAAAAA%3D%3D&vssid=jobs-detail-viewer,
bbhnKnVORw-WqWWiAAAAAA==,Technical Lead Developer Python,Future Space S.A.,"O Chazo, Boiro",La Coruña,ES,False,A tiempo completo,,,,,"¿Te apasiona el mundo de la ciberseguridad y quieres liderar proyectos tecnológicos de alto impacto? En Future Space buscamos un / a Líder Técnico experto en desarrollo con Python. ¿Qué harás en tu día a día? • Te incorporarás al equipo de ciberseguridad, trabajando en estrecha colaboración con equipos de investigación y expertos en seguridad para integrar soluciones de ciberseguridad dentro de los proyectos de I+D, asegurando la interoperabilidad y la alineación con los objetivos estratégicos. ...",https://es.talent.com/view?id=62358b897fd0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DbbhnKnVORw-WqWWiAAAAAA%3D%3D&vssid=jobs-detail-viewer,
hezz4q2RWVymFTgdAAAAAA==,Senior Product Python Developer (Remote – Spain) - Remote (Gijón),Matchtech,Gijón,Asturias,ES,False,A tiempo completo,,,,,"Senior PRODUCT Python Developer (Remote – Spain) (Just Spanish Residents allowed) Build scalable solutions that power general digital experiences. We’re looking for a Senior Product Python Developer to join a growing international engineering team. You’ll work in a collaborative, agile environment where innovation, autonomy, and technical excellence are part of the daily culture. If you’re passionate about designing elegant, scalable systems, love working with modern technologies, and want to co...",https://www.jobijoba.es/oferta-empleo/69/dcd4a6d62612e89360e1eeb89f3455bf?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dhezz4q2RWVymFTgdAAAAAA%3D%3D&vssid=jobs-detail-viewer,
1NJzj3gfZJj9fy_wAAAAAA==,Python & AWS Developer,Paradigma Digital,Madrid,Madrid,ES,False,A tiempo completo,,,,,"El futuro se construye con talento, pasión e innovación.",https://es.talent.com/view?id=9b54bc62ff60&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D1NJzj3gfZJj9fy_wAAAAAA%3D%3D&vssid=jobs-detail-viewer,
BkP8VOCyqi0o_VeaAAAAAA==,Senior PRODUCT Python Developer (Remote – Spain) (Cataluña),Matchtech,,,ES,False,A tiempo completo,,,,,"Senior PRODUCT Python Developer (Remote – Spain) (Just Spanish Residents allowed) Build scalable solutions that power integral digital experiences. We’re looking for a Senior Product Python Developer to join a growing international engineering team. You’ll work in a collaborative, agile environment where innovation, autonomy, and technical excellence are part of the daily culture. If you’re passionate about designing elegant, scalable systems, love working with modern technologies, and want to c...",https://www.jobijoba.es/oferta-empleo/69/8c93731b3f46e1486a2afdd6ed5483cb?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DBkP8VOCyqi0o_VeaAAAAAA%3D%3D&vssid=jobs-detail-viewer,
D9GL6l4GnxKxa5CkAAAAAA==,Senior Python Software Engineer,IT Partner,,,ES,False,A tiempo completo,,,,,"Modalidad : 100% Teletrabajo Idioma : Español nativo (obligatorio) 🚀 Descripción del puesto En IT Partner España , buscamos un Senior Python Software Engineer con experiencia en el diseño y desarrollo de arquitecturas basadas en microservicios. Participarás en proyectos innovadores donde la inteligencia artificial y la automatización juegan un papel clave, colaborando con equipos de ingeniería y DevOps para llevar soluciones de AI / GenAI a entornos productivos. 🧩 Responsabilidades principales •...",https://es.talent.com/view?id=6f9f3a4e42c9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DD9GL6l4GnxKxa5CkAAAAAA%3D%3D&vssid=jobs-detail-viewer,
